,S&P500,WML,value_factor
2016-12-01,-0.3515529214704194,-0.4,-0.47
2016-12-02,0.03970064849451376,0.58,0.05
2016-12-05,0.5821305360635018,-0.21,0.35
2016-12-06,0.34108881136406527,-0.47,0.35
2016-12-07,1.3163241734930209,0.11,1.48
2016-12-08,0.2159342712376298,-0.36,0.07
2016-12-09,0.5938984836723531,-0.82,0.54
2016-12-12,-0.11374347616603382,0.17,-0.24
2016-12-13,0.6539774854251376,-0.08,0.71
2016-12-14,-0.8117172114256144,-0.25,-0.74
2016-12-15,0.38832279554189403,0.05,0.29
2016-12-16,-0.17506226483432866,-0.65,-0.2
2016-12-19,0.19751207295131734,0.03,0.3
2016-12-20,0.36375123841505275,0.31,0.45
2016-12-21,-0.24573614012164843,0.24,-0.26
2016-12-22,-0.18629738593322426,0.17,-0.37
2016-12-23,0.12517152222139497,-0.35,0.07
2016-12-27,0.22483728227057678,0.14,0.27
2016-12-28,-0.8356529202828483,0.08,-0.69
2016-12-29,-0.02933046610003201,0.02,0.0
2016-12-30,-0.46370503870737506,-0.21,-0.65
2017-01-03,0.8486575281753027,-0.23,0.7
2017-01-04,0.572227384420558,-0.08,0.73
2017-01-05,-0.07706704833204889,-0.31,-0.08
2017-01-06,0.35169590127809913,-0.37,0.36
2017-01-09,-0.3548594221719928,-0.48,-0.13
2017-01-10,0.0,0.61,0.16
2017-01-11,0.2829638272865455,0.71,0.14
2017-01-12,-0.2144809017699879,-0.57,-0.06
2017-01-13,0.18498406076093335,0.22,0.16
2017-01-17,-0.29675026894465883,-1.1,-0.02
2017-01-18,0.17637540571728277,0.34,0.1
2017-01-19,-0.3609308719258403,0.35,-0.22
2017-01-20,0.3366237514239067,0.2,0.43
2017-01-23,-0.269012501212185,-0.05,-0.12
2017-01-24,0.6564593555388054,0.94,0.63
2017-01-25,0.8026090626264211,0.48,0.76
2017-01-26,-0.07353841696334511,0.47,-0.09
2017-01-27,-0.08664642261523092,-0.13,-0.09
2017-01-30,-0.6009543491523057,-0.65,-0.39
2017-01-31,-0.08899053387743623,-0.62,-0.33
2017-02-01,0.029836364737392058,0.48,0.34
2017-02-02,0.057030947864919836,-0.34,0.09
2017-02-03,0.726475800164582,0.49,0.45
2017-02-06,-0.21153568633501788,-0.23,-0.15
2017-02-07,0.022682895392798413,-0.23,0.3
2017-02-08,0.06933224946015534,-0.58,0.22
2017-02-09,0.5752546313282066,0.24,0.53
2017-02-10,0.35660503333253635,-0.17,0.32
2017-02-13,0.5245844948796384,0.34,0.51
2017-02-14,0.4007335122946401,0.0,0.41
2017-02-15,0.499230897363938,-0.31,0.57
2017-02-16,-0.0864117909971273,-0.06,-0.09
2017-02-17,0.16785563554665622,-0.45,0.41
2017-02-21,0.6048066287377024,0.08,0.55
2017-02-22,-0.10822003765217686,-0.08,-0.06
2017-02-23,0.041898704577953416,-0.59,-0.24
2017-02-24,0.1493364065593907,-0.52,0.38
2017-02-27,0.10179830148679832,0.05,0.07
2017-02-28,-0.2578376200021087,0.05,-0.36
2017-03-01,1.3673854505382557,1.32,1.15
2017-03-02,-0.5859880477359939,-1.1,-0.41
2017-03-03,0.05038771408371255,0.6,0.08
2017-03-06,-0.3277240599115164,0.05,-0.37
2017-03-07,-0.29133737609452365,0.08,-0.26
